codigo_municipio,municipio,populacao_total,enviadas_dose1,aplicadas_dose1,enviadas_dose2,aplicadas_dose2,enviadas_dose_unica,aplicadas_dose_unica,cobertura_pop_dose1,cobertura_pop_dose2,cobertura_pop_dose2_dose_unica
280010,Amparo de São Francisco,2380,1669,1558,1235,1080,30,30,0.6546218487394958,0.453781512605042,0.46638655462184875
280020,Aquidabã,21681,15239,12688,9036,6211,210,210,0.585212859185462,0.2864720261980536,0.2961579262949126
280030,Aracaju,664908,481707,450314,295612,224508,12715,12589,0.6772576055634765,0.33765272789619016,0.3565861743278769
280040,Arauá,9947,6797,6738,4289,3275,100,102,0.677390167889816,0.32924499849200767,0.3394993465366442
280050,Areia Branca,18686,12664,12284,7554,6202,185,198,0.6573905597773735,0.33190623996574975,0.3425024082200578
280060,Barra dos Coqueiros,30930,20559,20325,10922,8564,845,967,0.6571290009699321,0.2768832848367281,0.3081474296799224
280067,Boquim,26899,18917,16604,10162,8487,255,252,0.6172720175471207,0.3155135878657199,0.32488196587233725
280070,Brejo Grande,8353,5384,5052,3886,2459,75,75,0.6048126421644918,0.2943852508080929,0.3033640608164731
280100,Campo do Brito,18218,12772,11464,7549,6071,175,175,0.6292677571632451,0.3332418487210451,0.3428477330113075
280110,Canhoba,4006,2803,2534,2061,1342,40,40,0.6325511732401398,0.3349975037443834,0.344982526210684
280120,Canindé de São Francisco,30402,19041,17187,8121,6795,275,275,0.5653246496940991,0.22350503256364712,0.23255049009933557
280130,Capela,34514,23577,20110,13010,7747,315,357,0.5826621081300342,0.2244596395665527,0.2348032682389755
280140,Carira,22239,15163,14270,9025,7327,195,194,0.6416655425154009,0.32946625297900084,0.3381896668015648
280150,Carmópolis,16937,10703,9131,5226,3258,155,155,0.5391155458463719,0.19235992206411998,0.20151148373383715
280160,Cedro de São João,5913,4140,3803,2814,2063,60,60,0.6431591408760359,0.34889227126670047,0.35903940470150514
280170,Cristinápolis,18029,11703,10605,6677,3985,165,165,0.5882189805313661,0.2210327805202729,0.23018470242387265
280190,Cumbe,3998,2940,2776,2074,1738,45,45,0.6943471735867934,0.4347173586793397,0.4459729864932466
280200,Divina Pastora,5215,3414,3083,2183,1861,50,50,0.5911792905081495,0.35685522531160113,0.36644295302013424
280210,Estância,69556,47108,41897,25155,20773,2500,2510,0.6023491862671804,0.298651446316637,0.3347374777157973
280220,Feira Nova,5601,3895,3404,2503,1893,55,57,0.6077486163185145,0.3379753615425817,0.34815211569362614
280230,Frei Paulo,15556,10539,10805,6100,5843,150,150,0.6945872975057855,0.37561069683723325,0.38525327847775775
280240,Gararu,11601,7958,7284,4960,3309,120,115,0.6278769071631756,0.2852340315490044,0.29514697008878543
280250,General Maynard,3384,2276,2089,1535,1400,35,35,0.6173167848699763,0.41371158392434987,0.4240543735224586
280260,Gracho Cardoso,5824,4149,3960,2725,1568,65,71,0.679945054945055,0.2692307692307692,0.2814217032967033
280270,Ilha das Flores,8521,5581,5029,3701,2761,80,80,0.5901889449595118,0.324023001995071,0.3334115714118061
280280,Indiaroba,18149,11345,10874,5977,4346,145,147,0.5991514684004628,0.2394622293239297,0.24756184913769352
280290,Itabaiana,96142,65779,65255,33426,29598,2400,2430,0.6787356202284122,0.3078571279981694,0.33313224189220114
280300,Itabaianinha,42166,27969,26234,14282,11640,370,370,0.6221600341507375,0.27605179528530094,0.28482663757529764
280310,Itabi,4886,3655,3305,2508,1836,55,56,0.6764224314367581,0.37576749897666806,0.38722881702824397
280320,Itaporanga d'Ajuda,34709,23229,21288,11601,9097,330,330,0.6133279552853727,0.26209340516868823,0.27160102567057537
280330,Japaratuba,18907,12676,11458,7579,5698,175,175,0.6060189347860581,0.3013698630136986,0.31062569418733804
280340,Japoatã,13429,8936,8399,5418,3728,135,154,0.6254374860376797,0.2776081614416561,0.2890758805570035
280350,Lagarto,105221,74356,69875,42448,35861,2500,2510,0.6640784634246015,0.3408159968067211,0.36467055055549746
280360,Laranjeiras,30080,20368,20889,12739,10503,490,502,0.6944481382978723,0.3491688829787234,0.36585771276595747
280370,Macambira,6961,4994,4796,3170,2986,70,70,0.6889814681798592,0.42896135612699327,0.439017382559977
280380,Malhada dos Bois,3699,2473,2076,1726,723,40,43,0.5612327656123277,0.1954582319545823,0.20708299540416328
280390,Malhador,12653,8806,8078,5231,3783,120,119,0.6384256698016281,0.29898047893780133,0.308385363154983
280400,Maruim,17271,11199,10234,5305,4310,165,165,0.5925539922413294,0.24955127091656534,0.25910485785420645
280410,Moita Bonita,11348,8372,8377,5318,4932,125,138,0.7381917518505463,0.4346140289037716,0.4467747620726119
280420,Monte Alegre de Sergipe,15175,9893,8709,5589,3427,135,135,0.5739044481054366,0.225831960461285,0.23472817133443163
280430,Muribeca,7639,5350,5456,3184,2569,75,75,0.7142296112056552,0.33630056290090327,0.34611860191124494
280440,Neópolis,18703,12828,10750,7807,4398,175,175,0.5747741004116986,0.23514944126610704,0.2445062289472277
280445,Nossa Senhora Aparecida,8809,6439,6190,4028,3422,95,111,0.7026904302417981,0.3884663412419117,0.4010670904756499
280450,Nossa Senhora da Glória,37324,25171,23397,13158,10165,1000,968,0.6268620726610225,0.2723448719322688,0.2982799271246383
280460,Nossa Senhora das Dores,26795,18541,16985,10141,8168,245,245,0.6338869192013435,0.30483299122970703,0.3139764881507744
280470,Nossa Senhora de Lourdes,6496,4495,4384,3043,2247,60,53,0.6748768472906403,0.3459051724137931,0.354064039408867
280480,Nossa Senhora do Socorro,185706,122292,111870,57156,45518,4100,4175,0.6024037995541339,0.24510785865830936,0.267589630921995
280490,Pacatuba,14540,9543,8871,5331,4664,130,136,0.6101100412654745,0.3207702888583219,0.33012379642365886
280500,Pedra Mole,3285,2207,2018,1498,1367,40,42,0.6143074581430746,0.4161339421613394,0.4289193302891933
280510,Pedrinhas,9665,6602,5594,3879,2777,90,91,0.5787894464562856,0.287325400931195,0.2967408173823073
280520,Pinhão,6627,4737,4196,3045,2443,65,73,0.6331673457069564,0.3686434283989739,0.37965897087671646
280530,Pirambu,9359,6210,6005,4048,3193,80,80,0.6416283791003312,0.341168928304306,0.34971685009082165
280540,Poço Redondo,35122,21722,19827,10658,8270,280,279,0.5645179659472696,0.23546495074312396,0.24340868971015317
280550,Poço Verde,23867,17381,15325,10634,7110,210,206,0.6420999706708007,0.29790086730632254,0.3065320316755353
280560,Porto da Folha,28693,19190,17838,10907,9612,265,268,0.6216847314676054,0.3349945979855714,0.3443348551911616
280570,Propriá,29692,20749,20236,11828,10115,255,258,0.6815303785531456,0.34066415196012395,0.3493533611747272
280580,Riachão do Dantas,19809,13732,12479,8194,6597,185,183,0.6299661769902569,0.33303044070876875,0.3422686657579888
280590,Riachuelo,10284,6656,6037,4286,3046,100,100,0.5870283936211591,0.29618825359782186,0.3059120964605212
280600,Ribeirópolis,18773,13526,12579,8042,7404,200,197,0.6700580621104778,0.394396207319022,0.40489000159803973
280610,Rosário do Catete,11008,7382,6725,4374,3298,105,111,0.6109193313953488,0.2996002906976744,0.30968386627906974
280620,Salgado,20025,14046,12869,8346,6546,200,200,0.6426466916354557,0.32689138576779025,0.3368789013732834
280630,Santa Luzia do Itanhy,14121,9262,8396,7336,5048,120,112,0.5945754549961051,0.3574817647475391,0.36541321436158913
280640,Santana do São Francisco,7844,5068,4846,2148,2371,85,85,0.6177970423253442,0.30226925038245794,0.31310555838857723
280650,Santa Rosa de Lima,3923,2733,2744,2374,1559,35,35,0.699464695386184,0.3973999490186082,0.4063216925822075
280660,Santo Amaro das Brotas,12151,8033,7865,5156,3929,125,125,0.6472718294790553,0.32334787260307796,0.3336350917619949
280670,São Cristóvão,91093,61414,57957,36472,19034,2385,2384,0.6362398867091873,0.2089512915372202,0.23512234749102565
280680,São Domingos,11207,7761,6543,4486,3762,110,107,0.5838315338627643,0.3356830552333363,0.34523065940929776
280690,São Francisco,3781,2624,2236,1644,1173,40,40,0.5913779423432954,0.31023538746363394,0.32081459931235123
280700,São Miguel do Aleixo,3947,2846,2687,1985,1406,40,54,0.6807702052191538,0.3562199138586268,0.3699011907778059
280710,Simão Dias,40606,28905,26249,16159,12757,1050,1070,0.646431561838152,0.31416539427670787,0.34051617987489535
280720,Siriri,8970,5754,5145,3683,3130,75,75,0.5735785953177257,0.34894091415830547,0.3573021181716834
280730,Telha,3249,2225,2140,1417,1224,45,46,0.6586642043705756,0.3767313019390582,0.39088950446291165
280740,Tobias Barreto,52530,36144,35442,19584,17044,1160,1187,0.6747001713306682,0.3244622120692937,0.34705882352941175
280750,Tomar do Geru,13535,9349,7299,5339,3501,135,139,0.539268562984854,0.2586627262652383,0.2689323974879941
280760,Umbaúba,25550,17073,15422,9586,6834,240,237,0.603600782778865,0.26747553816046965,0.27675146771037185
000000,TODO ESTADO,2318822,1602737,1489443,921386,708689,39750,40023,0.6423274403986162,0.30562458006694776,0.32288463711315485
