codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6
280010,Amparo de São Francisco,2380,51,89,140,202,92,188,50,56,0,0,41,91,0,45,0,0,5,0,0
280020,Aquidabã,21681,481,932,1543,1864,664,1453,368,302,18,0,455,678,0,273,17,0,78,0,0
280030,Aracaju,664908,10149,24138,47854,67240,19280,53012,13399,21027,249,0,11411,20325,0,13160,239,0,0,0,0
280040,Arauá,9947,149,348,644,722,332,580,182,152,0,0,204,224,0,142,0,0,40,0,0
280050,Areia Branca,18686,281,548,1047,1221,491,1076,275,241,0,0,323,497,15,232,0,0,43,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,1915,565,1654,286,517,0,0,388,725,24,228,0,0,58,0,0
280067,Boquim,26899,476,1158,1852,2486,756,2234,374,558,9,0,558,1109,0,265,9,0,100,0,0
280070,Brejo Grande,8353,121,199,417,418,148,342,93,108,0,0,141,93,0,69,0,0,24,0,0
280100,Campo do Brito,18218,408,774,1318,1545,825,1316,512,236,0,0,416,664,0,228,0,0,282,2,0
280110,Canhoba,4006,72,156,232,318,118,273,66,64,0,0,95,114,0,53,0,0,13,0,0
280120,Canindé de São Francisco,30402,278,703,1214,1365,695,1311,475,359,0,0,329,623,0,233,0,0,225,17,0
280130,Capela,34514,564,1121,2006,2413,803,2004,393,606,0,0,619,778,1,274,0,0,119,0,0
280140,Carira,22239,450,956,1559,1762,862,1128,328,237,0,0,460,431,0,212,0,0,107,9,0
280150,Carmópolis,16937,117,294,770,761,401,708,289,271,0,0,136,297,4,235,0,0,54,0,0
280160,Cedro de São João,5913,140,291,399,588,218,537,129,130,0,0,133,270,4,115,0,0,14,0,0
280170,Cristinápolis,18029,202,496,876,1247,627,780,417,295,0,0,285,200,0,285,0,0,132,0,0
280190,Cumbe,3998,94,198,262,404,154,355,89,69,0,0,94,192,0,64,0,0,25,0,0
280200,Divina Pastora,5215,69,155,317,364,184,338,130,118,0,0,77,140,3,108,0,0,22,0,0
280210,Estância,69556,1093,2308,4544,5108,1498,4964,1249,1340,33,0,1155,2436,0,751,33,0,461,4,0
280220,Feira Nova,5601,100,217,383,403,203,361,116,68,0,0,90,203,0,63,0,0,53,0,0
280230,Frei Paulo,15556,294,608,994,1195,565,1148,460,206,0,0,284,545,113,157,0,0,243,60,0
280240,Gararu,11601,203,448,701,823,403,692,179,134,0,0,255,303,0,96,0,0,83,0,0
280250,General Maynard,3384,47,109,207,263,133,248,112,92,0,0,52,104,0,96,0,0,16,0,0
280260,Gracho Cardoso,5824,150,281,469,563,303,411,168,83,0,0,170,158,0,72,0,0,95,1,0
280270,Ilha das Flores,8521,170,275,452,572,192,503,119,107,0,0,183,213,0,86,0,0,33,0,0
280280,Indiaroba,18149,221,453,850,952,362,804,212,188,0,0,262,354,0,167,0,0,45,0,0
280290,Itabaiana,96142,1449,3289,6024,7617,3517,5902,2628,1956,148,0,1862,1936,0,1020,148,0,1275,185,0
280300,Itabaianinha,42166,630,1353,2494,2751,741,2137,372,531,0,0,646,932,28,279,0,0,93,0,0
280310,Itabi,4886,115,264,446,493,253,419,113,88,0,0,101,230,0,61,0,0,52,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,2236,796,1808,518,485,0,0,445,853,25,446,0,0,72,0,0
280330,Japaratuba,18907,302,670,1215,1380,690,1094,371,259,0,0,294,541,0,245,0,0,126,0,0
280340,Japoatã,13429,208,477,734,955,345,690,197,206,0,0,236,248,0,155,0,0,42,0,0
280350,Lagarto,105221,1941,4108,7217,10540,3025,8939,1863,3264,48,0,1973,3654,0,1476,44,0,343,0,0
280360,Laranjeiras,30080,269,727,1448,1615,665,1256,423,413,0,0,288,555,0,366,0,0,57,0,0
280370,Macambira,6961,178,337,535,635,335,570,205,88,0,0,189,293,0,69,0,0,122,14,0
280380,Malhada dos Bois,3699,55,111,180,287,147,224,84,96,0,0,93,35,0,78,0,0,6,0,0
280390,Malhador,12653,203,468,914,841,421,691,278,135,0,0,216,340,0,119,0,0,159,0,0
280400,Maruim,17271,179,453,898,981,561,955,356,251,0,0,250,454,0,220,0,0,111,25,0
280410,Moita Bonita,11348,318,611,904,1145,565,1017,290,130,0,0,318,569,0,111,0,0,177,2,0
280420,Monte Alegre de Sergipe,15175,183,452,806,868,448,753,340,179,0,0,203,371,0,154,0,0,179,7,0
280430,Muribeca,7639,120,263,500,531,201,488,129,98,0,0,143,245,2,87,0,0,40,2,0
280440,Neópolis,18703,361,698,1274,1546,586,794,301,339,0,0,289,166,0,261,0,0,40,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,810,380,667,201,137,0,0,209,321,0,123,0,0,78,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,2581,1241,2535,610,721,20,0,665,1129,0,295,19,0,296,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,2089,1089,1325,926,377,0,0,549,399,0,377,0,0,549,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,548,228,445,142,112,0,0,135,198,0,92,0,0,35,15,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,8826,3415,6660,1963,2113,36,0,1412,3081,18,1040,36,0,759,128,0
280490,Pacatuba,14540,230,455,822,889,309,793,162,150,0,0,222,418,3,120,0,0,42,0,0
280500,Pedra Mole,3285,65,121,245,249,149,235,113,60,0,0,66,109,0,50,0,0,63,0,0
280510,Pedrinhas,9665,156,335,604,633,213,441,115,105,0,0,181,155,0,83,0,0,32,0,0
280520,Pinhão,6627,134,336,524,581,281,383,172,80,0,0,124,179,0,73,0,0,92,7,0
280530,Pirambu,9359,130,267,522,590,360,483,249,154,0,0,158,171,0,149,0,0,100,0,0
280540,Poço Redondo,35122,399,1056,1672,2206,826,1669,600,384,0,0,461,824,0,245,0,0,345,10,0
280550,Poço Verde,23867,576,1241,1828,2261,731,1796,346,339,0,0,529,915,13,265,0,0,81,0,0
280560,Porto da Folha,28693,477,1002,1660,2227,1277,1791,912,361,0,260,485,685,0,323,0,248,309,32,0
