codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8
280010,Amparo de São Francisco,2380,51,89,140,232,92,222,72,61,0,0,41,94,26,0,0,45,0,0,27,0,0,0,0
280020,Aquidabã,21681,481,932,1543,2284,664,1858,399,356,18,0,461,786,237,0,0,286,17,0,81,15,0,0,0
280030,Aracaju,664908,10149,24138,47854,80240,19280,61699,15406,21459,249,0,11488,19854,8505,61,83,13370,239,0,1797,0,0,0,0
280040,Arauá,9947,149,348,644,872,332,580,182,152,0,0,204,224,0,0,0,142,0,0,40,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1501,491,1109,333,241,0,0,323,522,23,0,0,232,0,0,53,48,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,2345,565,1805,305,521,0,0,406,840,38,0,0,242,0,0,62,1,0,0,0
280067,Boquim,26899,476,1158,1852,2986,756,2688,540,568,9,0,560,1140,411,0,0,283,9,0,170,78,0,0,0
280070,Brejo Grande,8353,121,199,417,518,148,342,93,108,0,0,141,93,0,0,0,69,0,0,24,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,1895,825,1648,613,239,0,0,418,727,264,0,0,231,0,0,347,35,0,0,0
280110,Canhoba,4006,72,156,232,388,118,311,66,74,0,0,96,141,0,0,0,53,0,0,13,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,1675,695,1630,586,359,0,0,334,733,204,0,0,237,0,0,299,50,0,0,0
280130,Capela,34514,564,1121,2006,3013,803,2556,426,622,0,0,625,995,314,0,0,275,0,0,151,0,0,0,0
280140,Carira,22239,450,956,1559,2212,862,1538,603,240,0,0,503,793,2,0,0,219,0,0,341,43,0,0,0
280150,Carmópolis,16937,117,294,770,901,371,883,295,278,0,0,139,324,142,0,0,237,0,0,58,0,0,0,0
280160,Cedro de São João,5913,140,291,399,708,218,583,159,130,0,0,131,277,45,0,0,115,0,0,44,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1447,627,941,464,295,0,0,285,285,76,0,0,287,0,0,142,35,0,0,0
280190,Cumbe,3998,94,198,262,474,154,455,120,70,0,0,94,195,96,0,0,64,0,0,32,24,0,0,0
280200,Divina Pastora,5215,69,155,317,434,184,417,153,118,0,0,77,145,77,0,0,109,0,0,23,21,0,0,0
280210,Estância,69556,1093,2308,4544,6608,1498,5583,1173,1435,33,0,1155,2223,737,0,0,675,33,0,461,4,0,0,0
280220,Feira Nova,5601,100,217,383,513,203,365,141,69,0,0,91,205,0,0,0,65,0,0,76,0,0,0,0
280230,Frei Paulo,15556,294,608,994,1455,565,1413,538,207,0,0,285,562,359,0,0,163,0,0,252,123,0,0,0
280240,Gararu,11601,203,448,701,1033,403,799,244,136,0,0,255,367,41,0,0,100,0,0,121,23,0,0,0
280250,General Maynard,3384,47,109,207,323,133,304,128,97,0,0,52,104,51,0,0,96,0,0,16,16,0,0,0
280260,Gracho Cardoso,5824,150,281,469,693,303,655,223,88,0,0,166,260,141,0,0,72,0,0,144,7,0,0,0
280270,Ilha das Flores,8521,170,275,452,692,192,593,127,107,0,0,183,238,65,0,0,86,0,0,33,8,0,0,0
280280,Indiaroba,18149,221,453,850,1182,362,998,238,198,0,0,274,410,116,0,0,167,0,0,57,14,0,0,0
280290,Itabaiana,96142,1449,3289,6024,9767,3517,8824,2793,1982,148,0,1895,3112,1687,0,0,1027,148,0,1423,195,0,0,0
280300,Itabaianinha,42166,630,1353,2494,3391,741,2810,394,540,0,0,655,1133,482,0,0,281,0,0,107,6,0,0,0
280310,Itabi,4886,115,264,446,613,253,525,169,90,0,0,100,266,69,0,0,75,0,0,94,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,2696,796,2466,658,488,0,0,457,1164,357,0,0,459,0,0,185,14,0,0,0
280330,Japaratuba,18907,302,670,1215,1710,690,1257,451,260,0,0,299,609,89,0,0,245,0,0,181,25,0,0,0
280340,Japoatã,13429,208,477,734,1165,345,789,197,207,0,0,248,324,10,0,0,155,0,0,42,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,12540,3025,10625,2074,3282,48,0,1989,3895,1411,0,0,1492,45,0,492,45,0,0,0
280360,Laranjeiras,30080,269,727,1448,1965,665,1278,447,416,0,0,289,568,5,0,0,374,0,0,70,3,0,0,0
280370,Macambira,6961,178,337,535,795,335,836,244,88,0,0,188,442,118,0,0,69,0,0,116,59,0,0,0
280380,Malhada dos Bois,3699,55,111,180,337,147,297,87,98,0,0,74,124,1,0,0,81,0,0,6,0,0,0,0
280390,Malhador,12653,203,468,914,1071,421,880,316,135,0,0,217,428,100,0,0,119,0,0,182,15,0,0,0
280400,Maruim,17271,179,453,898,1211,561,1162,445,252,0,0,251,493,166,0,0,227,0,0,134,84,0,0,0
280410,Moita Bonita,11348,318,611,904,1405,565,1240,445,130,0,0,318,585,207,0,0,117,0,0,308,20,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,1088,448,937,376,179,0,0,208,406,144,0,0,154,0,0,187,35,0,0,0
280430,Muribeca,7639,120,263,500,661,201,488,143,98,0,0,124,256,10,0,0,88,0,0,43,12,0,0,0
280440,Neópolis,18703,361,698,1274,1876,586,1770,333,374,0,0,342,628,426,0,0,261,0,0,57,15,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,1000,380,831,284,138,0,0,216,421,56,0,0,136,0,0,148,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,3231,1241,2909,888,740,20,0,671,1216,262,0,0,317,19,0,476,76,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,2559,1089,1692,928,404,0,0,549,709,30,0,0,377,0,0,539,12,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,678,228,629,203,113,0,0,156,260,100,0,0,104,0,0,71,28,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,11256,3415,8263,2268,2140,36,0,1429,3321,1337,0,0,1046,36,0,905,281,0,0,0
