codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose1_grupo12,aplicadas_dose1_grupo13,aplicadas_dose1_grupo14,aplicadas_dose1_grupo15,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,642,232,509,203,63,0,0,42,96,134,0,153,21,0,0,0,0,0,0,56,0,0,26,84,37,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,4544,2314,3365,1970,402,18,0,481,854,1333,0,156,23,11,0,0,1,0,86,378,17,0,161,765,649,0,0,15,2,0
280030,Aracaju,664908,10149,24138,47854,149225,66350,125037,46572,33231,349,0,11818,25023,45263,73,202,3114,363,128,0,0,4,5469,20325,339,0,1998,14557,9260,43,50,266,0,0
280040,Arauá,9947,149,348,644,1812,942,1603,886,165,0,0,211,466,633,0,0,11,9,0,0,0,15,93,162,0,0,111,463,150,0,0,0,4,0
280050,Areia Branca,18686,281,548,1047,3071,1521,2413,1318,262,0,0,336,573,971,0,0,61,7,0,0,1,5,197,252,0,0,146,548,372,0,0,10,2,0
280060,Barra dos Coqueiros,30930,358,816,1754,5235,3375,4172,2275,585,0,0,424,875,1605,0,201,70,23,0,1,2,5,381,411,0,0,189,825,849,0,1,33,12,0
280067,Boquim,26899,476,1158,1852,5631,3106,4419,2590,622,9,0,564,1194,1705,0,0,34,21,0,0,1,9,260,478,9,0,230,1169,704,0,0,14,11,0
280070,Brejo Grande,8353,121,199,417,2168,548,1991,427,135,0,0,153,199,420,0,668,13,0,0,0,0,0,403,126,0,0,67,189,45,0,0,5,0,0
280100,Campo do Brito,18218,408,774,1318,3660,2205,2906,1946,271,0,0,436,802,1151,0,0,10,19,0,1,2,32,182,240,0,0,427,752,527,0,0,7,11,0
280110,Canhoba,4006,72,156,232,733,408,728,338,86,0,0,100,176,350,0,0,8,0,0,0,2,0,6,78,0,0,43,157,60,0,0,8,0,0
280120,Canindé de São Francisco,30402,278,703,1214,4095,1975,3815,1746,442,0,0,343,803,1197,0,393,67,12,0,3,3,10,542,354,0,0,331,740,321,0,0,10,2,0
280130,Capela,34514,564,1121,2006,6518,2473,5200,1809,720,0,0,572,1101,1709,0,582,43,17,0,2,0,5,449,591,0,0,241,843,134,0,0,34,4,0
280140,Carira,22239,450,956,1559,4292,2622,3810,2386,309,0,0,509,961,1656,0,0,17,17,0,0,0,3,338,271,0,0,473,946,696,0,0,2,2,0
280150,Carmópolis,16937,117,294,770,2091,1011,1757,611,338,0,0,141,327,719,0,0,60,8,0,1,1,0,162,255,0,0,47,153,156,0,0,23,7,0
280160,Cedro de São João,5913,140,291,399,1313,717,1085,713,147,0,0,117,308,365,0,0,9,7,0,0,0,0,132,130,0,0,52,296,235,0,0,5,4,0
280170,Cristinápolis,18029,202,496,876,2767,1587,1996,1226,307,0,0,292,489,760,0,0,12,6,0,0,0,5,125,301,0,0,153,443,329,0,0,7,1,0
280190,Cumbe,3998,94,198,262,1099,474,867,445,75,0,0,98,198,240,0,188,8,0,0,0,0,7,53,70,0,0,39,196,140,0,0,6,0,0
280200,Divina Pastora,5215,69,155,317,898,468,689,431,134,0,0,78,150,235,0,0,13,1,0,0,0,2,76,116,0,0,32,146,137,0,0,9,1,0
280210,Estância,69556,1093,2308,4544,13773,5878,11584,4666,2016,33,0,1225,2390,4114,0,261,288,26,0,34,90,21,1086,1362,33,0,1127,1691,250,0,203,21,1,0
280220,Feira Nova,5601,100,217,383,1043,623,775,452,75,0,0,100,232,299,0,0,8,1,0,0,0,20,40,77,0,0,99,200,76,0,0,7,1,0
280230,Frei Paulo,15556,294,608,994,2995,1675,2666,1572,222,0,0,307,593,963,0,182,14,3,0,1,3,124,254,207,0,0,293,574,498,0,0,9,0,0
280240,Gararu,11601,203,448,701,2068,1253,1664,925,143,4,0,257,516,689,0,0,14,6,0,0,0,0,35,129,4,0,245,431,116,0,0,0,0,0
280250,General Maynard,3384,47,109,207,633,353,665,424,108,0,0,52,106,209,0,0,26,2,0,0,0,52,110,98,0,0,21,106,199,0,0,2,0,0
280260,Gracho Cardoso,5824,150,281,469,1303,813,1278,712,114,0,0,166,282,467,0,0,13,5,0,0,0,28,203,89,0,0,166,273,184,0,0,3,2,0
280270,Ilha das Flores,8521,170,275,452,1747,692,1510,624,131,0,0,187,274,492,0,313,13,4,0,0,0,8,88,119,0,0,81,259,165,0,0,6,1,0
280280,Indiaroba,18149,221,453,850,2562,1312,1855,946,237,0,0,281,446,677,0,117,48,10,0,0,0,0,39,219,0,0,113,381,233,0,0,26,4,0
280290,Itabaiana,96142,1449,3289,6024,17987,8301,16463,7298,2745,227,0,1948,3410,6025,0,0,222,61,0,4,5,39,1777,1806,156,0,1675,2858,803,0,0,85,42,0
280300,Itabaianinha,42166,630,1353,2494,6741,3431,6736,2949,709,0,0,693,1239,2170,0,0,63,20,0,1,2,120,1719,453,0,0,257,1213,1026,0,0,8,15,0
