codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose1_grupo12,aplicadas_dose1_grupo13,aplicadas_dose1_grupo14,aplicadas_dose1_grupo15,aplicadas_dose1_grupo16,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,710,262,590,213,63,0,0,42,97,136,0,182,26,0,0,0,0,0,44,0,57,0,0,26,84,37,0,0,9,0,0
280020,Aquidabã,21681,481,932,1543,5028,2664,3726,2077,418,18,0,481,857,1354,0,158,24,13,0,0,3,7,315,78,380,17,0,164,775,723,0,0,15,3,0
280030,Aracaju,664908,10149,24138,47854,161649,93770,146887,52626,35045,349,0,11834,25066,45757,73,202,3565,367,751,0,0,4,23730,144,21050,339,0,2729,14731,12883,43,50,590,211,0
280040,Arauá,9947,149,348,644,2060,1042,1760,966,165,0,0,211,466,639,0,0,11,9,0,0,0,22,237,0,162,0,0,111,465,220,0,0,0,8,0
280050,Areia Branca,18686,281,548,1047,3313,1701,2697,1367,264,0,0,336,574,987,0,0,61,8,0,0,1,49,417,0,253,0,0,147,556,398,0,0,10,3,0
280060,Barra dos Coqueiros,30930,358,816,1754,5743,3605,4951,2634,588,0,0,426,877,1648,0,201,70,23,0,2,2,27,979,108,461,0,0,195,851,1076,0,1,34,16,0
280067,Boquim,26899,476,1158,1852,6109,3436,5038,2698,643,9,0,564,1197,1732,0,0,34,23,0,1,4,39,732,60,534,9,0,230,1176,714,0,0,20,15,0
280070,Brejo Grande,8353,121,199,417,2316,628,2091,453,143,0,0,153,199,423,0,674,14,0,0,0,1,0,421,63,130,0,0,68,190,60,0,0,5,0,0
280100,Campo do Brito,18218,408,774,1318,3920,2205,3291,2013,275,0,0,437,804,1171,0,0,10,21,0,3,3,84,426,57,240,0,0,427,764,554,0,0,8,20,0
280110,Canhoba,4006,72,156,232,857,458,819,362,88,0,0,100,176,350,0,0,8,2,0,0,0,1,70,24,78,0,0,59,157,60,0,0,8,0,0
280120,Canindé de São Francisco,30402,278,703,1214,4491,1975,4390,1869,472,0,0,343,807,1222,0,402,68,12,0,3,7,37,923,94,354,0,0,333,768,381,0,0,25,8,0
280130,Capela,34514,564,1121,2006,7056,3463,6452,2070,744,0,0,572,1102,1756,0,583,44,17,0,2,0,34,1551,47,604,0,0,243,862,313,0,0,34,14,0
280140,Carira,22239,450,956,1559,4614,2622,4538,2540,311,0,0,509,961,1671,0,0,17,17,0,0,0,30,994,28,271,0,0,488,954,818,0,0,2,7,0
280150,Carmópolis,16937,117,294,770,2381,1081,2289,685,382,0,0,144,327,741,0,0,89,9,0,1,1,11,494,90,256,0,0,47,157,189,0,0,29,7,0
280160,Cedro de São João,5913,140,291,399,1443,807,1233,747,151,0,0,117,308,368,0,0,9,7,0,0,0,3,270,0,131,0,0,52,305,248,0,0,7,4,0
280170,Cristinápolis,18029,202,496,876,3057,1717,2648,1389,314,0,0,293,490,773,0,0,12,6,0,1,0,41,701,17,301,0,0,153,445,480,0,0,7,3,0
280190,Cumbe,3998,94,198,262,1167,534,931,456,75,0,0,98,198,244,0,188,8,0,0,0,0,20,100,0,70,0,0,39,196,144,0,0,7,0,0
280200,Divina Pastora,5215,69,155,317,1034,508,847,441,135,0,0,78,150,238,0,0,13,1,0,0,2,27,134,69,116,0,0,32,146,137,0,0,9,1,0
280210,Estância,69556,1093,2308,4544,15085,8098,13683,5098,2039,33,0,1278,2405,4124,0,261,292,26,0,34,93,63,2760,275,1429,33,0,1135,1709,506,0,203,59,24,0
280220,Feira Nova,5601,100,217,383,1147,623,895,467,77,0,0,100,232,300,0,0,8,1,0,0,1,26,133,17,78,0,0,100,201,80,0,0,7,1,0
280230,Frei Paulo,15556,294,608,994,3249,1675,3001,1582,234,0,0,307,595,979,0,183,14,3,0,3,7,135,452,89,207,0,0,293,574,499,0,0,9,0,0
280240,Gararu,11601,203,448,701,2310,1253,1817,1101,144,4,0,257,516,695,0,0,14,6,0,0,0,1,120,60,132,4,0,245,496,214,0,0,6,4,0
280250,General Maynard,3384,47,109,207,707,565,679,330,108,0,0,52,106,209,0,0,26,2,0,0,0,54,122,0,98,0,0,21,106,103,0,0,2,0,0
280260,Gracho Cardoso,5824,150,281,469,1411,823,1297,771,118,0,0,166,282,469,0,0,13,5,0,0,0,30,214,0,94,0,0,166,274,230,0,0,3,4,0
280270,Ilha das Flores,8521,170,275,452,1883,792,1652,642,133,0,0,187,276,506,0,313,13,5,0,0,0,20,193,6,110,0,0,81,262,181,0,0,6,2,0
280280,Indiaroba,18149,221,453,850,2828,1452,1973,1049,241,0,0,281,448,730,0,117,50,10,0,0,0,0,96,0,225,0,0,113,390,283,0,0,30,8,0
280290,Itabaiana,96142,1449,3289,6024,19877,9951,18590,7573,2911,227,0,1951,3413,6110,0,0,239,65,0,4,12,111,3291,256,1885,156,0,1679,2874,819,0,0,116,44,0
280300,Itabaianinha,42166,630,1353,2494,7561,3851,7086,3094,763,0,0,677,1393,2144,0,0,65,20,0,0,4,133,1847,40,511,0,0,237,1177,1146,0,0,8,15,0
280310,Itabi,4886,115,264,446,1322,703,1102,665,98,0,0,105,283,392,0,0,6,4,0,0,0,25,177,12,91,0,0,104,280,183,0,0,3,4,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,6101,3416,5433,2694,610,0,0,464,1383,1750,0,0,52,18,0,0,1,50,1105,0,559,0,0,234,1122,747,0,0,18,14,0
280330,Japaratuba,18907,302,670,1215,4323,2250,3495,1923,295,0,0,298,704,1071,0,317,35,9,0,1,9,87,514,155,264,0,0,294,651,407,0,301,0,6,0
280340,Japoatã,13429,208,477,734,3156,1395,2535,1120,219,0,0,257,498,769,0,524,27,13,0,0,0,11,199,18,209,0,0,86,466,342,0,0,4,13,0
280350,Lagarto,105221,1941,4108,7217,25658,12640,21659,9635,3823,48,0,2027,4154,6756,0,661,179,66,0,8,14,347,3322,254,2868,46,0,830,3562,2273,0,0,17,39,0
280360,Laranjeiras,30080,269,727,1448,7686,2335,6131,1863,589,0,0,295,713,1237,0,1992,100,22,0,2,7,48,1124,2,428,0,0,112,686,625,0,0,3,9,0
280370,Macambira,6961,178,337,535,1630,925,1470,782,106,0,0,185,318,504,0,0,11,5,0,0,0,13,317,11,98,0,0,145,328,199,0,0,10,2,0
280380,Malhada dos Bois,3699,55,111,180,696,397,639,287,104,0,0,62,124,203,0,0,18,6,0,0,0,0,88,34,97,0,0,51,98,29,0,0,8,4,0
280390,Malhador,12653,203,468,914,2525,1251,2132,1144,154,0,0,222,492,815,0,0,11,10,0,1,0,28,301,98,135,0,0,220,451,320,0,0,8,10,0
280400,Maruim,17271,179,453,898,2823,1481,2793,1270,275,0,0,241,531,992,0,0,48,4,0,0,3,117,552,30,253,0,0,222,489,284,0,0,18,4,0
280410,Moita Bonita,11348,318,611,904,2813,1705,2761,1625,137,0,0,322,607,885,0,0,11,10,0,1,4,122,662,0,131,0,0,321,582,575,0,0,8,8,0
280420,Monte Alegre de Sergipe,15175,183,452,806,2504,1434,1861,1361,204,0,0,211,437,757,0,0,11,5,0,4,8,10,184,30,185,0,0,207,417,552,0,0,0,0,0
280430,Muribeca,7639,120,263,500,1491,751,1457,548,117,0,0,126,283,489,0,0,13,3,0,0,1,1,401,23,99,0,0,70,250,116,0,0,12,1,0
280440,Neópolis,18703,361,698,1274,4044,2136,3030,1617,424,0,0,407,680,1115,0,0,35,10,0,0,0,4,354,1,392,0,0,138,552,507,0,0,26,2,0
280445,Nossa Senhora Aparecida,8809,170,416,645,2124,1310,2226,1297,144,0,0,221,445,643,0,126,7,5,0,0,0,71,247,317,138,0,0,217,441,365,0,126,5,5,0
