codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo
280010,Amparo de São Francisco,2380,51,89,140,710,262,659,213,63,0,0,42,97,137,0,182,26,0,0,0,0,94,18,0,0,0,0,0,57,0,0,26,84,37,0,0,9,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,5028,2664,4156,2106,423,18,0,481,858,1364,0,159,24,13,4,8,15,415,374,0,0,0,0,0,381,17,0,164,786,740,0,0,15,3,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,161649,93770,156480,53799,35451,349,0,11846,25103,46153,73,202,4116,367,0,0,93,29078,1259,270,626,193,815,486,21297,339,0,3000,14796,13461,43,50,599,214,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2060,1042,1919,964,165,0,0,211,466,641,0,0,12,9,1,0,82,287,45,0,0,0,0,0,162,0,0,111,463,220,0,0,0,8,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,3313,1701,2989,1367,269,0,0,336,576,996,0,0,61,8,0,1,74,545,123,0,0,0,0,0,253,0,0,147,556,398,0,0,10,3,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,5743,3605,5455,2649,865,0,0,427,879,1657,0,201,70,23,5,4,37,1151,136,0,0,0,0,0,461,0,0,195,855,1082,0,1,37,18,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,6109,3436,5123,2715,647,9,0,564,1197,1735,0,0,34,23,1,4,46,798,65,0,0,0,0,0,539,9,0,230,1177,722,0,0,22,16,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2316,628,2280,453,143,0,0,154,199,429,0,674,14,123,0,1,0,431,112,0,0,0,0,0,130,0,0,68,190,60,0,0,5,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,3920,2205,3358,2021,278,0,0,437,804,1171,0,0,11,21,3,3,100,473,57,0,0,0,0,0,240,0,0,428,764,560,0,0,9,20,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,857,458,821,362,88,0,0,100,176,350,0,0,8,2,0,0,3,70,24,0,0,0,0,0,78,0,0,59,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0
