codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros
280010,Amparo de São Francisco,2380,51,89,140,800,266,678,213,63,0,0,42,97,137,0,182,27,0,0,0,0,112,18,0,0,0,0,0,0,57,0,0,26,84,37,0,0,9,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,5678,2964,4483,2126,444,18,0,481,858,1366,0,159,24,13,4,8,19,454,603,0,0,0,32,0,0,381,17,0,176,788,745,0,0,16,3,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,184369,93770,159673,53849,35585,349,0,11846,25103,46153,73,202,4280,369,0,0,93,30955,2052,272,628,193,815,705,0,21344,339,0,3000,14796,13461,43,50,600,216,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2290,1082,2042,977,166,0,0,211,466,641,0,0,12,9,1,0,93,360,72,0,0,0,8,3,0,162,0,0,111,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,4443,1701,3119,1372,269,0,0,337,576,996,0,0,61,8,0,1,89,581,123,57,0,0,19,2,0,253,0,0,147,557,402,0,0,10,3,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,6873,3605,5437,2653,589,0,0,427,881,1661,0,201,70,24,5,4,40,1197,305,0,0,0,33,0,0,468,0,0,195,855,1082,0,1,34,18,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,6639,3436,5317,2766,650,9,0,564,1197,1747,0,0,34,23,1,4,54,903,131,0,0,0,0,0,0,541,9,0,273,1178,727,0,0,22,16,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2536,628,2214,493,144,0,0,154,199,430,0,674,14,0,0,4,0,439,156,0,0,0,0,0,0,130,0,0,108,190,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,4470,2325,3657,2033,278,0,0,437,804,1184,0,0,12,22,3,3,111,520,263,0,0,0,20,0,0,240,0,0,428,776,560,0,0,9,20,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,947,458,868,362,88,0,0,100,176,350,0,0,8,2,0,0,1,86,57,0,0,0,0,0,0,78,0,0,59,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,5141,1975,4456,1887,473,0,0,343,810,1229,0,404,68,13,5,14,55,939,103,0,0,0,0,0,0,356,0,0,333,769,386,0,0,35,8,0,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,7886,3563,6995,2197,757,0,0,572,1103,1764,0,587,44,17,4,5,37,1717,302,0,0,0,85,1,0,606,0,0,363,862,318,0,0,34,14,0,0,0,0,0,0,0,0,0,0
280140,Carira,22239,450,956,1559,5204,2812,5010,2604,314,0,0,510,962,1679,0,0,17,18,0,0,46,1266,198,0,0,0,0,0,0,275,0,0,488,957,874,0,0,2,8,0,0,0,0,0,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,2791,1081,2412,697,316,0,0,144,328,747,0,0,89,10,1,0,16,534,155,0,0,0,72,0,0,256,0,0,47,157,199,0,0,31,7,0,1,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,1663,839,1442,820,153,0,0,117,309,368,0,0,9,7,0,1,10,340,116,0,0,0,12,0,0,131,0,0,123,305,249,0,0,7,5,0,0,0,0,0,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,3642,2037,2776,1389,323,0,0,293,490,776,0,0,12,6,1,1,46,743,85,0,0,0,0,0,0,301,0,0,153,445,480,0,0,7,3,0,0,0,0,0,0,0,0,0,0
280190,Cumbe,3998,94,198,262,1307,534,1023,469,82,0,0,98,198,248,0,188,8,0,1,0,26,117,57,0,0,0,0,0,0,70,0,0,50,196,145,0,0,8,0,0,0,0,0,0,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,1224,500,949,441,139,0,0,78,150,239,0,0,13,1,0,2,31,150,146,0,0,0,0,0,0,116,0,0,32,146,137,0,0,9,1,0,0,0,0,0,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,17315,8448,14930,5162,2059,33,0,1280,2405,4141,0,261,292,28,34,93,82,3313,909,0,0,0,0,0,0,1437,33,0,1164,1734,505,0,206,59,24,0,0,0,0,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,1287,623,1012,553,78,0,0,102,233,341,0,0,8,2,0,1,32,176,39,0,0,0,0,0,0,78,0,0,100,207,160,0,0,7,1,0,0,0,0,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,3589,1675,3334,1582,237,0,0,307,595,989,0,183,14,3,3,7,146,551,240,0,0,0,57,2,0,207,0,0,293,574,499,0,0,9,0,0,0,0,0,0,0,0,0,0,0
280240,Gararu,11601,203,448,701,2580,1368,1966,1111,147,4,0,257,516,700,0,0,15,6,0,0,5,144,172,0,0,0,0,0,0,132,4,0,245,496,224,0,0,6,4,0,0,0,0,0,0,0,0,0,0
280250,General Maynard,3384,47,109,207,807,391,784,363,110,0,0,52,106,209,0,0,26,2,0,0,58,146,75,0,0,0,0,0,0,98,0,0,50,106,105,0,0,2,2,0,0,0,0,0,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1571,823,1480,792,122,0,0,172,286,474,0,0,13,5,0,3,47,339,19,0,0,0,0,0,0,95,0,0,172,280,236,0,0,4,5,0,0,0,0,0,0,0,0,0,0
