codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil
280010,Amparo de São Francisco,2380,51,89,140,890,306,678,213,63,0,0,42,97,137,0,182,27,0,0,0,0,112,18,0,0,0,0,0,0,0,0,0,0,57,0,0,26,84,37,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,6258,2964,4611,2146,445,18,0,481,858,1372,0,159,24,13,4,8,22,482,691,0,0,0,32,2,0,0,0,0,0,381,17,0,196,788,745,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,209319,93970,169484,54262,35796,349,0,11846,25103,46153,73,202,4324,369,0,0,93,32882,3882,278,628,436,815,974,0,5281,0,0,0,21757,339,0,3000,14796,13461,43,50,600,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2510,1082,2083,1002,166,0,0,211,466,641,0,0,12,9,1,0,93,304,170,0,0,0,8,2,0,0,0,0,0,162,0,0,136,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,5073,1701,3604,1438,269,0,0,337,576,1007,0,0,61,8,0,1,108,618,239,113,0,0,20,2,1,244,0,0,0,253,0,0,210,560,402,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,7668,3605,6026,2706,591,0,0,427,881,1665,0,201,70,24,5,4,60,1273,420,0,0,0,33,0,0,0,0,372,0,476,0,0,219,855,1102,0,1,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,7309,3436,5560,2897,650,9,0,564,1197,1752,0,0,34,23,1,4,61,1045,146,0,0,0,50,24,0,0,0,0,0,564,9,0,376,1180,730,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2686,628,2214,493,144,0,0,154,199,430,0,674,14,0,0,4,0,439,156,0,0,0,0,0,0,0,0,0,0,130,0,0,108,190,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,4960,2325,4015,2033,285,0,0,437,804,1190,0,0,12,22,3,3,135,603,300,0,0,0,29,42,83,67,0,0,0,240,0,0,428,776,560,0,0,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1042,458,868,362,88,0,0,100,176,350,0,0,8,2,0,0,1,86,57,0,0,0,0,0,0,0,0,0,0,78,0,0,59,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
