codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose_unica
280010,Amparo de São Francisco,2380,51,89,140,1020,306,970,249,66,0,0,42,99,140,0,182,27,0,0,0,21,177,44,1,0,0,18,0,0,34,0,0,2,34,39,44,0,0,63,0,0,40,94,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,7632,2964,7191,2450,467,18,0,485,860,1408,0,159,24,13,6,12,37,532,0,0,0,0,46,42,63,457,796,0,104,578,640,444,0,0,383,17,0,411,817,767,0,0,16,2,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,260259,93970,265815,75489,36600,349,0,11948,25276,47101,266,203,4795,376,0,0,0,37872,8716,284,630,448,821,1205,0,85421,0,0,0,0,0,0,0,0,22013,339,0,11104,21766,14759,42,120,1575,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504
280040,Arauá,9947,149,348,644,3115,1082,2818,1081,166,0,0,211,466,641,0,0,12,9,2,2,108,368,197,0,0,0,12,12,35,272,0,0,0,305,0,0,0,0,162,0,0,211,466,229,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,6132,1701,6071,1537,291,0,0,338,577,1023,1,0,62,8,3,8,124,672,254,180,494,0,27,24,58,437,0,0,0,605,544,341,0,0,253,0,0,295,562,410,0,0,10,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,9672,3605,10041,3163,591,0,0,432,881,1718,1,201,85,25,6,10,99,1497,566,0,0,0,114,18,3,678,0,505,198,992,1094,77,2,4,496,0,0,381,868,1117,0,1,37,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
280067,Boquim,26899,476,1158,1852,8992,3436,9054,3075,713,9,0,568,1198,1781,0,0,68,23,3,8,115,2358,381,0,0,0,52,53,125,592,0,0,296,577,134,0,0,0,590,9,0,515,1182,739,0,0,22,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,3177,628,2657,534,149,0,0,154,199,441,0,679,14,0,1,7,2,448,227,0,0,0,0,0,0,124,0,0,0,136,76,0,0,0,137,0,0,140,190,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,6026,2325,5645,2040,314,0,0,437,810,1210,0,0,12,23,3,3,154,567,324,0,0,0,30,52,190,523,0,0,16,606,371,0,0,0,241,0,0,430,778,565,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1298,458,1092,403,90,0,0,100,176,354,0,0,8,4,0,0,8,130,102,0,0,0,0,3,0,72,0,0,0,45,0,0,0,0,78,0,0,100,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
