codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose_unica
280010,Amparo de São Francisco,2380,51,89,140,1104,546,926,249,65,0,0,42,99,139,0,182,27,0,0,0,20,171,44,1,0,0,18,0,0,32,0,0,1,26,33,26,0,0,0,63,0,0,40,94,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,8287,3564,7791,2432,469,18,0,485,861,1410,0,159,24,13,6,12,40,661,801,0,0,0,47,42,65,494,0,0,106,635,712,702,23,6,0,383,17,0,419,818,771,0,0,16,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,292854,111160,274349,80894,37011,349,0,11963,25284,47139,284,203,4825,376,0,0,35282,0,9219,284,630,449,821,1221,0,93424,0,0,0,0,0,0,1705,0,0,22127,339,0,11203,23121,18170,43,125,1606,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3880
280040,Arauá,9947,149,348,644,3445,1252,3136,1089,171,0,0,211,466,641,0,0,12,10,2,2,111,377,204,0,0,0,12,12,36,272,0,0,30,311,230,0,24,2,0,162,0,0,211,466,229,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,6726,1971,6200,1538,291,0,0,338,577,1029,1,0,62,8,3,8,124,675,254,180,494,0,26,24,60,441,0,0,0,619,560,399,24,3,0,253,0,0,295,562,410,0,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,11025,4305,10661,3181,592,0,0,433,882,1731,1,201,85,25,6,10,103,1522,572,0,0,0,115,18,3,704,0,505,198,1048,1261,293,85,26,0,501,0,0,386,869,1125,0,1,37,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
280067,Boquim,26899,476,1158,1852,9951,3896,9296,3091,717,9,0,570,1198,1793,0,0,68,23,3,8,126,1388,397,0,0,0,53,54,127,675,0,0,300,740,691,287,53,16,0,597,9,0,519,1182,742,0,0,22,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,3478,1778,2936,547,149,0,0,154,200,444,0,679,14,0,3,11,3,450,239,0,0,0,0,0,0,134,0,0,0,158,169,122,5,2,0,138,0,0,151,191,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,6588,2665,6001,2040,316,0,0,437,811,1212,0,0,12,24,3,3,158,572,328,0,0,0,31,52,199,534,0,0,16,636,521,77,51,8,0,241,0,0,430,778,565,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1434,518,1284,453,96,0,0,103,175,354,0,0,8,4,0,0,13,150,75,0,0,0,17,4,0,142,0,0,0,114,22,0,6,1,0,78,0,0,98,169,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
