codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose_unica
280010,Amparo de São Francisco,2380,51,89,140,1104,546,1059,250,67,0,0,42,99,141,0,182,27,0,0,0,22,179,44,1,0,0,19,0,0,36,0,0,2,42,46,52,10,0,48,1,63,0,0,40,94,40,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,8287,3564,7857,2435,471,18,0,485,861,1413,0,159,24,13,6,12,40,568,805,0,0,0,47,42,65,501,0,0,106,643,724,621,33,6,194,0,383,17,0,420,818,773,0,0,16,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,292854,111160,284523,82175,37066,349,0,11966,25295,47185,284,203,4832,376,0,0,0,37096,9306,284,630,449,821,1230,0,101524,0,0,0,0,0,0,1747,0,0,0,22237,339,0,11217,23173,19226,43,125,1609,273,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3880
280040,Arauá,9947,149,348,644,3445,1252,3136,1089,171,0,0,211,466,641,0,0,12,10,2,2,111,377,204,0,0,0,12,12,36,272,0,0,30,311,230,0,24,2,0,0,162,0,0,211,466,229,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,6726,1971,6817,1725,294,0,0,338,578,1030,1,0,62,8,6,8,126,675,254,180,494,0,28,24,61,450,0,0,0,634,642,578,43,3,115,2,253,0,0,297,562,410,0,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
280060,Barra dos Coqueiros,30930,358,816,1754,11025,4305,10937,3184,604,0,0,436,882,1738,1,201,85,25,6,10,103,1532,575,0,0,0,115,18,3,713,0,506,198,1073,1307,441,94,28,1,0,503,0,0,386,869,1125,0,1,37,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
280067,Boquim,26899,476,1158,1852,9951,3896,9965,3350,717,9,0,571,1198,1795,0,0,68,24,3,8,130,1397,399,0,0,0,53,54,127,697,0,0,300,799,773,511,58,19,0,0,598,9,0,521,1182,743,0,0,22,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
280070,Brejo Grande,8353,121,199,417,3478,1778,3000,556,153,0,0,154,200,444,0,681,14,0,3,11,3,451,240,0,0,0,0,0,0,135,0,0,0,160,181,152,9,2,0,0,139,0,0,151,192,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
280100,Campo do Brito,18218,408,774,1318,6588,2665,6446,2205,318,0,0,3,437,812,203,0,24,1214,3,64,574,329,0,0,52,0,0,31,0,650,0,16,539,589,240,2,10,161,0,0,241,0,0,0,430,778,0,0,16,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
280110,Canhoba,4006,72,156,232,1434,518,1284,453,96,0,0,103,175,354,0,0,8,4,0,0,13,150,75,0,0,0,17,4,0,142,0,0,0,114,22,0,6,1,0,0,78,0,0,98,169,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
