codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose1_grupo34_lactante,aplicadas_dose1_grupo35_2529,aplicadas_dose1_grupo36_2024,aplicadas_dose1_grupo37_1819,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose2_grupo34_lactante,aplicadas_dose2_grupo35_2529,aplicadas_dose2_grupo36_2024,aplicadas_dose2_grupo37_1819,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034,aplicadas_dose_unica_grupo34_lactante,aplicadas_dose_unica_grupo35_2529,aplicadas_dose_unica_grupo36_2024,aplicadas_dose_unica_grupo37_1819
280010,Amparo de São Francisco,2380,51,89,140,1369,746,30,1337,625,30,72,0,0,42,99,145,0,183,27,0,208,44,1,0,0,19,0,0,43,0,0,2,45,56,64,19,0,91,92,9,76,0,0,68,0,0,41,97,133,0,168,25,0,5,2,0,0,0,0,0,0,5,0,0,1,8,14,15,10,0,30,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3,0,1,0,0
280020,Aquidabã,21681,481,932,1543,11019,5198,210,10189,3429,210,473,18,0,485,868,1436,0,160,24,48,642,811,0,0,0,47,42,68,558,0,0,106,717,846,808,65,15,733,756,10,453,0,0,402,17,0,437,839,1272,0,122,23,3,47,1,0,0,0,1,0,0,25,0,0,2,34,34,88,7,3,66,6,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,377045,164234,12715,372602,125165,12037,38939,305,0,11972,25325,47332,325,203,4919,19,38203,10111,285,630,452,824,1268,2,134888,0,3,542,1,0,6,3084,0,0,24010,41,22246,6667,0,28754,254,0,11623,25883,42073,45,141,2590,10,3652,59,0,1,0,9,0,1,5003,0,0,4,571,73,719,996,0,0,1,20,2703,0,0,6,2,0,0,0,4,5,0,0,0,6,2,0,0,1,0,0,0,11635,0,0,39,0,0,0,0,0,0,0,0,0,337,0
280040,Arauá,9947,149,348,644,4725,2106,100,4422,2141,102,174,0,0,211,467,647,0,0,12,113,385,204,0,0,0,12,12,36,293,0,0,30,336,741,356,39,11,318,1,24,0,0,0,167,0,0,211,469,632,0,1,10,1,14,1,0,0,0,0,0,0,65,0,0,28,464,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,17,1,0,0,30,41,5,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,9122,3499,185,9744,3460,198,300,0,0,341,584,1047,1,0,63,128,673,256,180,529,0,28,25,67,474,0,0,0,686,735,796,81,18,763,697,1,722,549,0,259,0,0,311,577,1047,0,0,58,3,38,0,0,0,0,18,1,4,97,0,0,0,76,113,784,24,8,25,14,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,14583,6255,845,14845,4049,967,632,0,0,436,885,1749,1,201,85,104,1529,565,0,0,0,114,18,3,761,0,506,253,1129,1550,1339,170,42,1489,1245,26,12,1,0,519,0,0,389,885,1637,0,35,62,3,59,1,0,0,0,0,0,0,193,0,2,1,120,99,16,2,0,14,10,0,1,1,0,3,0,0,2,2,21,0,136,0,0,40,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2,0,0,0,0
280067,Boquim,26899,476,1158,1852,13479,6311,255,12630,4798,251,722,9,0,572,1202,1816,0,0,68,152,1433,400,0,0,0,54,56,127,756,0,0,300,892,993,977,102,33,963,767,18,218,0,0,614,9,0,529,1188,1630,0,0,26,3,107,65,0,0,0,0,4,2,127,0,0,1,164,265,16,32,8,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,4348,2387,75,3927,1693,75,155,0,0,154,205,446,0,708,14,8,465,252,0,0,0,0,0,0,157,0,0,0,191,239,275,33,7,247,290,6,74,1,0,145,0,0,155,205,292,0,570,11,0,243,1,0,0,0,0,0,0,3,0,0,0,9,19,28,3,0,3,6,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,9,0,0,44,10,0,1,0,0
280100,Campo do Brito,18218,408,774,1318,9010,4248,175,8692,3069,175,337,0,0,438,812,1220,0,0,15,160,614,333,0,0,0,32,52,217,587,0,0,20,719,722,632,107,21,764,613,22,255,0,0,270,0,0,431,786,1096,0,0,10,6,68,0,0,0,0,1,0,5,106,0,0,0,53,128,78,28,3,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,2283,1148,40,1827,589,40,108,0,0,97,177,244,0,67,8,22,156,106,0,0,0,17,4,0,141,0,0,0,182,123,133,14,3,95,118,0,12,0,0,80,0,0,97,177,177,0,0,8,1,1,0,0,0,0,2,0,0,2,0,0,0,4,17,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,11,18,4,0,0,2,0,0,0,0,0
