codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose1_grupo34_lactante,aplicadas_dose1_grupo35_2529,aplicadas_dose1_grupo36_2024,aplicadas_dose1_grupo37_1819,aplicadas_dose1_grupo38_1517,aplicadas_dose1_grupo39_1214,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose2_grupo34_lactante,aplicadas_dose2_grupo35_2529,aplicadas_dose2_grupo36_2024,aplicadas_dose2_grupo37_1819,aplicadas_dose2_grupo38_1517,aplicadas_dose2_grupo39_1214,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034,aplicadas_dose_unica_grupo34_lactante,aplicadas_dose_unica_grupo35_2529,aplicadas_dose_unica_grupo36_2024,aplicadas_dose_unica_grupo37_1819,aplicadas_dose_unica_grupo38_1517,aplicadas_dose_unica_grupo39_1214
280010,Amparo de São Francisco,2380,51,89,140,1587,1235,30,1548,1004,30,72,0,0,42,99,146,0,183,27,0,208,45,1,0,0,19,0,0,43,0,0,2,45,60,68,19,0,96,103,10,102,118,50,0,0,69,0,0,41,98,139,0,182,27,0,171,33,1,0,0,17,0,0,26,0,0,1,16,19,22,17,0,43,28,5,46,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3,0,1,0,0,0,0
280020,Aquidabã,21681,481,932,1543,14433,9036,210,12560,5850,210,473,0,0,486,871,1450,0,166,24,48,644,811,0,0,0,47,42,68,587,0,0,106,763,908,897,68,15,828,921,10,905,970,439,12,11,444,17,0,443,853,1386,0,146,28,20,400,675,0,0,0,38,31,10,279,0,0,51,188,109,212,20,7,152,116,2,217,6,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,460155,288592,12715,444850,188307,12517,39121,925,3,12150,24969,45127,278,203,5097,1105,38601,8304,284,644,453,824,1269,14,20728,697,5,721,24990,28470,30548,3179,594,28868,36097,129,37770,35682,13880,3250,0,36736,1209,0,11660,31975,43490,120,144,3606,289,10355,2862,83,818,147,204,456,5,12741,352,3,22,10190,6779,3306,1158,433,1884,3754,67,2510,852,97,0,0,225,79,0,4,3,4,87,0,35,0,76,335,0,17,1,0,5,0,10900,3,0,13,0,2,4,0,1,262,37,0,334,3,87,0,0
280040,Arauá,9947,149,348,644,6477,4289,100,6568,3099,102,174,0,0,211,468,652,0,0,12,113,386,204,0,0,0,12,12,36,322,0,0,30,348,766,418,72,12,734,567,26,430,434,155,0,0,172,0,0,211,471,666,0,1,10,56,280,89,0,0,0,12,2,0,165,0,0,30,498,130,85,1,3,181,31,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,17,1,0,0,30,41,5,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,12054,7554,185,12282,6009,198,300,0,0,346,592,1067,1,0,63,128,673,256,180,529,0,28,25,67,494,0,0,0,712,787,883,88,18,909,968,1,1220,1490,458,0,0,259,0,0,313,582,1162,0,0,58,18,76,168,0,0,0,18,1,4,504,0,0,0,556,356,971,27,9,252,301,0,300,64,10,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,19607,10922,845,20095,7704,967,637,0,0,437,889,1772,1,201,85,104,1531,565,0,0,0,114,18,3,796,0,506,253,1196,1660,1490,195,50,1824,1639,49,1668,1745,716,0,0,551,0,0,392,893,1764,0,37,64,44,738,404,0,0,0,67,3,1,689,2,357,155,501,392,142,11,6,282,82,1,92,29,5,0,0,3,0,0,2,2,21,0,136,0,0,40,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,17949,10162,255,16490,7777,252,722,0,0,572,1204,1830,0,0,68,152,1477,400,0,0,0,54,56,127,800,0,0,300,940,1082,1090,120,37,1155,1109,25,1114,1088,519,246,228,632,9,0,531,1197,1725,0,0,39,6,561,288,0,0,0,32,45,28,827,0,0,63,511,523,182,35,9,246,232,0,46,10,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0,0,0,1,0,0,0
280070,Brejo Grande,8353,121,199,417,5148,3886,75,4933,2168,75,155,0,0,155,206,452,0,712,14,16,465,255,0,0,0,0,0,0,167,0,0,0,202,252,307,49,13,292,356,14,318,372,175,0,0,153,0,0,156,208,331,0,598,12,1,348,151,0,0,0,0,0,0,26,0,0,0,21,31,54,5,0,29,21,0,21,2,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,9,0,0,44,10,0,1,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,12090,7549,175,11391,5595,175,337,0,0,438,816,1244,0,0,15,160,614,333,0,0,0,32,52,218,600,0,0,20,763,790,723,114,21,930,811,22,866,1077,417,0,0,302,0,0,432,791,1171,0,0,12,50,297,236,0,0,0,14,40,28,559,0,0,0,485,345,254,40,5,252,181,5,41,52,3,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,2673,2061,40,2526,1050,40,108,0,0,97,178,250,0,147,8,22,156,106,0,0,0,17,4,0,149,0,0,0,189,149,180,15,4,156,192,0,142,159,98,0,0,87,0,0,97,178,179,0,53,8,6,103,67,0,0,0,2,2,0,24,0,0,0,8,20,49,1,0,60,90,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,11,18,4,0,0,2,0,0,0,0,0,0,0
