data,enviadas_dose1,aplicadas_dose1,enviadas_dose2,aplicadas_dose2
2021-03-11,92630,85700,35577,31583
2021-03-12,92630,89547,35577,31944
2021-03-15,101240,93759,35577,32665
2021-03-16,101280,96606,35577,33355
2021-03-17,101280,97873,35577,34748
2021-03-18,101280,98733,35327,34748
2021-03-19,107920,102364,35304,34748
2021-03-20,107920,103864,35304,34748
2021-03-22,122850,108467,35304,34453
2021-03-23,122850,117016,63004,35515
2021-03-24,128660,123804,63004,37237
2021-03-25,184650,134963,65524,39552
2021-03-26,184650,145582,65524,40811
2021-03-27,184650,150071,65524,41819
2021-03-29,184650,157279,65524,43141
2021-03-30,224970,170403,65494,45157
2021-03-31,225066,183382,65590,48618
2021-04-03,225066,197814,65590,52238
2021-04-04,225066,199145,65590,52434
2021-04-05,225066,206386,65590,55209
2021-04-06,225066,214659,65590,57346
2021-04-07,238606,218786,139420,59400
2021-04-08,238606,228227,139420,60518
2021-04-11,267668,239973,160235,64504
2021-04-12,268112,243713,160249,67423
2021-04-13,268112,257186,160249,73632
2021-04-14,268413,260630,161134,78497
2021-04-15,268413,265980,161134,88607
2021-04-16,268723,268869,161144,96335
2021-04-17,307399,271229,183364,99658
2021-04-18,307399,273868,183364,102373
