data,leitos_publico,ocupacao_publico,leitos_privado,ocupacao_privado,taxa_publico,taxa_privado
2021-01-01,189,117,67,48,0.6190476190476191,0.7164179104477612
2021-01-02,189,120,68,46,0.6349206349206349,0.6764705882352942
2021-01-03,189,122,68,50,0.6455026455026455,0.7352941176470589
2021-01-04,195,130,68,43,0.6666666666666666,0.6323529411764706
2021-01-05,195,126,74,43,0.6461538461538462,0.581081081081081
2021-01-06,195,129,74,43,0.6615384615384615,0.581081081081081
2021-01-07,195,137,74,50,0.7025641025641025,0.6756756756756757
2021-01-08,195,129,82,53,0.6615384615384615,0.6463414634146342
2021-01-09,195,136,82,55,0.6974358974358974,0.6707317073170732
2021-01-10,195,138,82,59,0.7076923076923077,0.7195121951219512
2021-01-11,195,126,82,57,0.6461538461538462,0.6951219512195121
2021-01-12,195,114,82,52,0.5846153846153846,0.6341463414634146
2021-01-13,195,124,82,54,0.6358974358974359,0.6585365853658537
2021-01-14,195,132,82,53,0.676923076923077,0.6463414634146342
2021-01-15,195,127,82,54,0.6512820512820513,0.6585365853658537
2021-01-16,195,123,82,56,0.6307692307692307,0.6829268292682927
2021-01-17,195,122,82,56,0.6256410256410256,0.6829268292682927
2021-01-18,195,113,82,52,0.5794871794871795,0.6341463414634146
2021-01-19,195,114,82,51,0.5846153846153846,0.6219512195121951
2021-01-20,195,111,82,49,0.5692307692307692,0.5975609756097561
2021-01-21,178,116,82,49,0.651685393258427,0.5975609756097561
2021-01-22,176,111,82,48,0.6306818181818182,0.5853658536585366
2021-01-23,176,112,82,50,0.6363636363636364,0.6097560975609756
2021-01-24,176,110,82,53,0.625,0.6463414634146342
2021-01-25,172,109,82,48,0.6337209302325582,0.5853658536585366
2021-01-26,172,106,82,46,0.6162790697674418,0.5609756097560976
2021-01-27,172,101,82,49,0.5872093023255814,0.5975609756097561
2021-01-28,172,100,82,57,0.5813953488372093,0.6951219512195121
2021-01-29,172,96,82,55,0.5581395348837209,0.6707317073170732
2021-01-30,172,96,82,55,0.5581395348837209,0.6707317073170732
2021-01-31,172,99,82,59,0.5755813953488372,0.7195121951219512
2021-02-01,172,90,82,61,0.5232558139534884,0.7439024390243902
2021-02-02,172,94,82,57,0.5465116279069767,0.6951219512195121
2021-02-03,172,94,82,53,0.5465116279069767,0.6463414634146342
2021-02-04,172,93,82,54,0.5406976744186046,0.6585365853658537
2021-02-05,172,91,82,53,0.5290697674418605,0.6463414634146342
