data,percent_faixa_6069,percent_faixa_7079,percent_faixa_menor_60,percent_faixa_maior_80,total_faixa_6069,total_faixa_7079,total_faixa_menor_60,total_faixa_maior_80,increase_6069,increase_7079,increase_menor_60,increase_maior_80
2020-04,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.3076923076923077,4,2,3,4,0.0,0.0,0.0,0.0
2020-05,0.23444976076555024,0.19617224880382775,0.37320574162679426,0.19617224880382775,49,41,78,41,11.25,19.5,25.0,9.25
2020-06,0.20394736842105263,0.23355263157894737,0.3256578947368421,0.23684210526315788,124,142,198,144,1.5306122448979593,2.4634146341463414,1.5384615384615383,2.5121951219512195
2020-07,0.22148541114058357,0.26525198938992045,0.27851458885941643,0.23474801061007958,167,200,210,177,0.346774193548387,0.408450704225352,0.06060606060606055,0.22916666666666674
2020-08,0.22629969418960244,0.24770642201834864,0.24770642201834864,0.2782874617737003,74,81,81,91,-0.5568862275449102,-0.595,-0.6142857142857143,-0.48587570621468923
2020-09,0.1901840490797546,0.2331288343558282,0.3067484662576687,0.26993865030674846,31,38,50,44,-0.5810810810810811,-0.5308641975308642,-0.3827160493827161,-0.5164835164835164
2020-10,0.25157232704402516,0.24528301886792453,0.22641509433962265,0.27672955974842767,40,39,36,44,0.29032258064516125,0.026315789473684292,-0.28,0.0
2020-11,0.26605504587155965,0.27522935779816515,0.2018348623853211,0.25688073394495414,29,30,22,28,-0.275,-0.23076923076923073,-0.38888888888888884,-0.36363636363636365
2020-12,0.176,0.244,0.284,0.296,44,61,71,74,0.5172413793103448,1.0333333333333332,2.227272727272727,1.6428571428571428
2021-01,0.22784810126582278,0.22362869198312235,0.3459915611814346,0.20253164556962025,54,53,82,48,0.2272727272727273,-0.1311475409836066,0.15492957746478875,-0.3513513513513513
2021-02,0.21578947368421053,0.3157894736842105,0.23684210526315788,0.23157894736842105,41,60,45,44,-0.2407407407407407,0.13207547169811318,-0.4512195121951219,-0.08333333333333337
2021-03,0.2463295269168026,0.233278955954323,0.31484502446982054,0.20554649265905384,151,143,193,126,2.682926829268293,1.3833333333333333,3.2888888888888888,1.8636363636363638
2021-04,0.28004667444574094,0.23687281213535588,0.3278879813302217,0.15519253208868145,240,203,281,133,0.5894039735099337,0.4195804195804196,0.455958549222798,0.05555555555555558
2021-05,0.23593964334705075,0.15912208504801098,0.4540466392318244,0.15089163237311384,172,116,331,110,-0.2833333333333333,-0.4285714285714286,0.17793594306049831,-0.17293233082706772
2021-06,0.17028985507246377,0.13405797101449277,0.5307971014492754,0.16485507246376813,94,74,293,91,-0.4534883720930233,-0.3620689655172413,-0.11480362537764355,-0.17272727272727273
2021-07,0.1411764705882353,0.17058823529411765,0.5058823529411764,0.18235294117647058,24,29,86,31,-0.7446808510638299,-0.6081081081081081,-0.7064846416382253,-0.6593406593406593
2021-08,0.21875,0.1875,0.375,0.21875,7,6,12,7,-0.7083333333333333,-0.7931034482758621,-0.8604651162790697,-0.7741935483870968
