Municipio,Grupo1_Populacao,Grupo1_Dose1_Enviadas,Grupo1_Dose1_Aplicadas,Grupo1_Dose2_Enviadas,Grupo1_Dose2_Aplicadas,Grupo2_Populacao,Grupo2_Dose1_Enviadas,Grupo2_Dose1_Aplicadas,Grupo2_Dose2_Enviadas,Grupo2_Dose2_Aplicadas,Grupo3_Populacao,Grupo3_Dose1_Aplicadas,Grupo3_Dose2_Aplicadas,Grupo4_DosesEnviadas,Grupo4_Doses1_Aplicadas,Grupo4_Doses2_Aplicadas,Grupo5_DosesEnviadas,Grupo5_Doses_Aplicadas_7879,Grupo5_Doses_Aplicadas_8084,Grupo5_Doses_Aplicadas_8589,Total_Dose1_Enviadas,Total_Dose1_Aplicadas,Total_Dose2_Enviadas,Total_Dose2_Aplicadas
Amparo de São Francisco,64,52,52,42,42,0,0,0,0,0,0,0,0,10,8,0,50,0,2,10,112,72,52,42
Aquidabã,397,297,280,257,240,17,17,18,17,16,0,0,0,98,83,0,471,0,9,74,883,464,372,256
Aracaju,32381,23639,16349,10939,11046,230,230,243,230,216,0,0,0,2061,2300,0,10630,0,0,8129,36560,27021,13230,11262
Arauá,219,162,142,142,85,0,0,0,0,0,0,0,0,30,33,20,150,0,63,44,342,282,172,105
Areia Branca,387,281,230,251,215,0,0,0,0,0,0,0,0,57,48,16,270,0,12,100,608,390,308,231
Barra dos Coqueiros,656,482,484,222,215,0,0,0,0,0,0,0,0,73,63,23,360,0,0,113,915,660,295,238
Boquim,788,577,489,257,253,9,9,9,9,9,0,0,0,100,100,70,520,0,168,169,1206,935,366,332
Brejo Grande,82,63,56,53,53,0,0,0,0,0,0,0,0,25,23,0,120,0,15,7,208,101,78,53
Campo do Brito,343,252,230,222,209,0,0,0,0,0,0,0,0,87,90,66,390,0,150,89,729,559,309,275
Canhoba,82,63,53,53,38,0,0,0,0,0,0,0,0,15,13,0,70,0,0,20,148,86,68,38
Canindé de São Francisco,339,249,245,219,205,0,0,0,0,0,0,0,0,56,76,18,310,11,138,64,615,523,275,223
Capela,676,498,510,228,221,0,0,0,0,0,0,0,0,115,124,23,570,1,154,177,1183,965,343,244
Carira,309,231,216,201,172,0,0,0,0,0,0,0,0,91,83,15,440,14,49,73,762,421,292,187
Carmópolis,366,237,240,237,168,0,0,0,0,0,0,0,0,24,22,7,140,30,42,47,401,351,261,175
Cedro de São João,151,108,115,98,98,0,0,0,0,0,0,0,0,30,17,0,140,0,61,29,278,222,128,98
Cristinápolis,579,426,282,376,163,0,0,0,0,0,0,0,0,41,30,0,240,0,0,0,707,312,417,163
Cumbe,99,74,65,64,59,0,0,0,0,0,0,0,0,19,14,13,90,2,46,26,183,151,83,72
Divina Pastora,144,104,111,94,93,0,0,0,0,0,0,0,0,14,11,11,80,0,39,15,198,176,108,104
Estância,1529,1193,1242,523,544,33,33,33,33,33,0,0,0,222,195,130,1090,0,40,249,2538,1759,778,707
Feira Nova,82,63,62,53,58,0,0,0,0,0,0,0,0,20,17,0,90,0,33,24,173,136,73,58
Frei Paulo,224,165,156,145,144,0,0,0,0,0,0,0,0,60,54,52,290,48,118,85,515,413,205,196
Gararu,126,92,86,82,79,0,0,0,0,0,0,0,0,41,39,0,220,0,0,0,353,125,123,79
General Maynard,112,83,85,73,77,0,0,0,0,0,0,0,0,10,13,0,50,0,16,16,143,130,83,77
Gracho Cardoso,114,83,73,73,57,0,0,0,0,0,0,0,0,30,37,0,150,6,54,43,263,207,103,57
Ilha das Flores,118,87,86,77,76,0,0,0,0,0,0,0,0,35,35,25,140,0,21,26,262,168,112,101
Indiaroba,259,187,171,167,142,0,0,0,0,0,0,0,0,45,42,16,210,0,72,55,442,340,212,158
Itabaiana,2644,1928,1881,923,845,125,125,148,120,148,0,0,0,294,282,118,1490,310,732,402,3837,3445,1337,1111
Itabaianinha,772,501,505,261,267,0,0,0,0,0,0,0,0,128,100,60,640,0,0,192,1269,797,389,327
Itabi,92,70,64,60,46,0,0,0,0,0,0,0,0,23,14,0,130,0,4,16,223,98,83,46
Itaporanga d'Ajuda,582,426,425,376,358,0,0,0,0,0,0,0,0,98,79,0,470,0,91,88,994,683,474,358
Japaratuba,385,279,244,249,216,0,0,0,0,0,0,0,0,61,56,9,300,1,0,107,640,407,310,225
Japoatã,236,173,161,153,124,0,0,0,0,0,0,0,0,42,41,0,220,0,0,0,435,202,195,124
Lagarto,4370,3195,3073,1475,1508,46,46,48,46,44,0,0,0,394,366,118,1950,0,99,541,5585,4127,1915,1670
Laranjeiras,571,420,372,370,258,0,0,0,0,0,0,0,0,55,51,0,290,2,99,55,765,577,425,258
Macambira,91,69,71,59,59,0,0,0,0,0,0,0,0,36,36,31,200,10,67,54,305,228,95,90
Malhada dos Bois,117,86,84,76,66,0,0,0,0,0,0,0,0,11,6,0,60,0,21,10,157,121,87,66
Malhador,154,110,121,100,103,0,0,0,0,0,0,0,0,41,39,24,230,9,60,56,381,276,141,127
Maruim,332,245,224,215,180,0,0,0,0,0,0,0,0,36,38,38,220,32,88,56,501,406,251,218
Moita Bonita,170,130,111,110,110,0,0,0,0,0,0,0,0,65,66,0,310,0,1,75,505,253,175,110
Monte Alegre de Sergipe,197,148,152,128,129,0,0,0,0,0,0,0,0,37,34,27,220,11,97,51,405,334,165,156
Muribeca,150,97,87,97,71,0,0,0,0,0,0,0,0,24,15,1,130,2,48,49,251,199,121,72
Neópolis,452,333,345,293,191,0,0,0,0,0,0,0,0,73,42,0,340,0,0,92,746,479,366,191
Nossa Senhora Aparecida,177,125,123,115,114,0,0,0,0,0,0,0,0,35,26,0,180,0,0,54,340,203,150,114
Nossa Senhora da Glória,704,511,501,231,240,20,20,20,20,19,0,0,0,107,119,31,550,2,43,109,1188,792,358,290
Nossa Senhora das Dores,544,403,363,353,353,0,0,0,0,0,0,0,0,96,74,74,470,0,200,110,969,747,449,427
Nossa Senhora de Lourdes,179,115,102,115,79,0,0,0,0,0,0,0,0,23,14,0,130,0,0,27,268,143,138,79
Nossa Senhora do Socorro,3115,2023,1905,1052,982,36,37,36,36,36,0,0,0,266,196,80,1490,65,458,261,3816,2856,1354,1098
Pacatuba,184,139,123,119,107,0,0,0,0,0,0,0,0,47,42,33,220,0,103,51,406,319,166,140
Pedra Mole,55,46,51,36,41,0,0,0,0,0,0,0,0,13,8,8,70,0,37,13,129,109,49,49
Pedrinhas,125,91,84,81,71,0,0,0,0,0,0,0,0,32,32,0,160,0,33,66,283,215,113,71
Pinhão,93,71,73,61,63,0,0,0,0,0,0,0,0,30,25,11,150,0,0,20,251,118,91,74
Pirambu,189,143,147,123,129,0,0,0,0,0,0,0,0,26,24,24,150,0,55,35,319,261,149,153
Poço Redondo,666,435,370,225,230,0,0,0,0,0,0,0,0,81,97,0,420,0,180,105,936,752,306,230
Poço Verde,341,251,224,221,224,0,0,0,0,0,0,0,0,117,82,0,570,0,130,90,938,526,338,224
Porto da Folha,447,337,331,277,256,0,0,0,0,0,260,260,248,97,100,39,460,34,172,115,1154,978,634,543
Propriá,809,592,572,522,272,21,21,21,21,21,0,0,0,106,85,40,500,0,194,176,1219,1048,649,333
Riachão do Dantas,484,313,300,313,258,0,0,0,0,0,0,0,0,78,68,61,380,0,165,55,771,588,391,319
