Municipio,Grupo1_Populacao,Grupo1_Dose1_Enviadas,Grupo1_Dose1_Aplicadas,Grupo1_Dose2_Enviadas,Grupo1_Dose2_Aplicadas,Grupo2_Populacao,Grupo2_Dose1_Enviadas,Grupo2_Dose1_Aplicadas,Grupo2_Dose2_Enviadas,Grupo2_Dose2_Aplicadas,Grupo3_Populacao,Grupo3_Dose1_Aplicadas,Grupo3_Dose2_Aplicadas,Grupo4_DosesEnviadas,Grupo4_Doses1_Aplicadas,Grupo4_Doses2_Aplicadas,Grupo5_DosesEnviadas,Grupo5_Doses_Aplicadas_7879,Grupo5_Doses_Aplicadas_8084,Grupo5_Doses_Aplicadas_8589,Total_Dose1_Enviadas,Total_Dose1_Aplicadas,Total_Dose2_Enviadas,Total_Dose2_Aplicadas
Amparo de São Francisco,64,52,52,42,45,0,0,0,0,0,0,0,0,10,8,5,50,0,4,10,112,74,52,50
Aquidabã,397,297,280,257,240,17,17,18,17,16,0,0,0,98,83,0,471,0,9,74,883,464,372,256
Aracaju,32381,23639,16617,10939,11464,230,230,243,230,236,0,0,0,2061,2300,0,10630,0,0,10260,36560,29420,13230,11700
Arauá,219,162,142,142,90,0,0,0,0,0,0,0,0,30,33,20,150,0,63,44,342,282,172,110
Areia Branca,387,281,230,251,216,0,0,0,0,0,0,0,0,57,48,37,270,48,37,101,608,464,308,253
Barra dos Coqueiros,656,482,484,222,215,0,0,0,0,0,0,0,0,73,63,23,360,0,0,113,915,660,295,238
Boquim,788,577,489,257,253,9,9,9,9,9,0,0,0,100,100,70,520,0,168,169,1206,935,366,332
Brejo Grande,82,63,56,53,53,0,0,0,0,0,0,0,0,25,23,0,120,0,15,7,208,101,78,53
Campo do Brito,343,252,230,222,209,0,0,0,0,0,0,0,0,87,90,66,390,0,150,89,729,559,309,275
Canhoba,82,63,53,53,38,0,0,0,0,0,0,0,0,15,13,0,70,0,0,20,148,86,68,38
Canindé de São Francisco,339,249,245,219,205,0,0,0,0,0,0,0,0,56,77,26,310,19,147,68,615,556,275,231
Capela,676,498,512,228,221,0,0,0,0,0,0,0,0,115,121,56,570,5,130,154,1183,922,343,277
